State,District,Total Population,Households,Total Working Population,Electricity_Deprivation,Average Household Size,Electricity Access,Average Annual Income,MPI,Headcount_Ratio (H)
Andaman And Nicobar Islands,Nicobars,36842,9288,17125,0.44087,3.9666236003445308,99.55913,69723.41349546713,0.01156062,3.12227
Andaman And Nicobar Islands,South Andaman,238142,59064,96831,1.21042,4.031931464174455,98.78958,60991.551259332664,0.01310353,3.3653130000000004
Andhra Pradesh,Anantapur,4081148,968160,2036166,0.53208,4.215365228887787,99.46792,74837.98676254819,0.06451616,16.526608
Andhra Pradesh,Chittoor,4174064,1039953,1933357,0.64508,4.013704465490267,99.35492,69477.50441775689,0.05012701,12.914888
Andhra Pradesh,East Godavari,5154296,1428528,2093681,0.60047,3.6081168867533573,99.39953,60930.17358723674,0.04133015,10.285435
Andhra Pradesh,Guntur,4887813,1296609,2381624,0.44333,3.7696892432491214,99.55667,73088.6390293573,0.04214742,10.635006
Andhra Pradesh,Krishna,4517398,1243293,2048880,0.60206,3.6334138453284948,99.39794,68032.96942177776,0.0473184,12.030967
Andhra Pradesh,Kurnool,4053463,887652,2029425,0.10496,4.566500159972602,99.89504,75099.67403180935,0.10198907,23.924154
Andhra Pradesh,Prakasam,3397448,860463,1700567,1.16547,3.948395224431498,98.83453,75081.36989881817,0.08029847,18.76915
Andhra Pradesh,Sri Potti Sriramulu Nellore,2963557,776854,1314561,1.78653,3.8148184858416125,98.21347,66536.31092636315,0.05886256,14.018534999999998
Andhra Pradesh,Srikakulam,2703114,681330,1290288,1.68704,3.967407864030646,98.31296,71600.08789862359,0.07861653,19.748507
Andhra Pradesh,Visakhapatnam,4290589,1097042,1889879,0.95437,3.9110526306194293,99.04563,66070.61408119024,0.07777677,17.579393
Andhra Pradesh,Vizianagaram,2344474,587149,1157962,0.99467,3.9929796354928646,99.00533,74086.68212997883,0.09180981,22.658966
Andhra Pradesh,West Godavari,3936966,1091525,1773112,0.99245,3.6068491330936077,99.00755,67556.28572865501,0.04535248,11.77772
Andhra Pradesh,Y.S.R.,2882469,706204,1320404,0.31445,4.081637883671007,99.68555,68712.13532565311,0.04847692,11.846406
Arunachal Pradesh,Anjaw,21167,4612,10501,10.03961,4.589549002601908,89.96039,74415.36353758209,0.09878317,24.534635
Arunachal Pradesh,Changlang,148226,29521,62966,22.7094,5.021035872768538,77.2906,63719.59035526831,0.12919264,28.884221
Arunachal Pradesh,Dibang Valley,8004,1952,3555,8.10477,4.100409836065574,91.89523,66622.93853073464,0.0706498,18.285175
Arunachal Pradesh,East Kameng,78690,14508,31710,47.43521,5.423904052936311,52.56479,60446.05413648494,0.19087748,41.920054
Arunachal Pradesh,East Siang,99214,19107,40222,4.01518,5.192547233998011,95.98482,60810.97425766525,0.03719756,9.496287
Arunachal Pradesh,Kurung Kumey,92076,15037,38044,8.13049,6.1232958701868725,91.86951,61977.06242669099,0.16116661,36.5461
Arunachal Pradesh,Lohit,145726,30005,60945,21.04809,4.856723879353441,78.95191,62732.45680249235,0.15468656,31.578489
Arunachal Pradesh,Lower Dibang Valley,54080,11600,22326,28.03054,4.662068965517242,71.96946,61924.926035502955,0.1070615,25.161809
Arunachal Pradesh,Lower Subansiri,83030,15249,30202,1.2969,5.444947209653092,98.7031,54562.20643141033,0.05956795,14.393086
Arunachal Pradesh,Tawang,49977,10062,28561,3.26474,4.966905187835421,96.73526,85722.43231886667,0.12448415,29.744389
Arunachal Pradesh,Tirap,111975,20611,50169,1.68954,5.432778613361797,98.31046,67205.62625586068,0.13668732,30.657857
Arunachal Pradesh,Upper Siang,35320,7324,17644,6.902519999999999,4.822501365374112,93.09748,74932.04983012457,0.08190559,21.719507
Arunachal Pradesh,Upper Subansiri,83448,15869,33370,11.70192,5.2585544142668095,88.29808,59983.46275524878,0.1200439,28.95555
Arunachal Pradesh,West Kameng,83947,18159,42493,1.29237,4.622886722837161,98.70763,75928.26426197482,0.08028229,19.156046
Arunachal Pradesh,West Siang,112274,21231,49177,4.66469,5.2882106353916445,95.33530999999999,65701.3199850366,0.05833487,13.953363
Assam,Baksa,950075,191701,406756,16.3891,4.956025268517118,83.6109,64219.56161355683,0.10515818,25.831161
Assam,Barpeta,1693622,337929,561824,27.25616,5.0117687443220325,72.74384,49759.391410834294,0.17617361,40.569397
Assam,Bongaigaon,738804,150018,255806,11.04096,4.924769027716674,88.95904,51936.50819432488,0.14611618,34.619547
Assam,Cachar,1736617,379955,608062,33.60574,4.570585990446237,66.39426,52521.2525271836,0.22358594,46.814975
